ID,CommandName,impact_TEL_ID,type,path,,,,,
1,MOBC_ON,"5,9",ACTION,1,5,12,,,
2,TOBC_ON,"6,10",ACTION,1,5,13,,,
3,AOBC_ON,"7,11",ACTION,1,5,14,,,
4,MIF_ON,"8,12",ACTION,1,5,15,,,
5,MOBC_OFF,"5,9",ACTION,1,5,12,,,
6,TOBC_OFF,"6,10",ACTION,1,5,13,,,
7,AOBC_OFF,"7,11",ACTION,1,5,14,,,
8,MIF_OFF,"8,12",ACTION,1,5,15,,,
9,MOBC_NOOP,5,ACTION,1,4,,,,
10,TOBC_NOOP,6,ACTION,1,4,8,,,
11,AOBC_NOOP,7,ACTION,1,4,9,,,
12,MIF_NOOP,8,ACTION,1,4,10,,,
13,HTR_PANEL_ON,"5,6,10,16,17,18,19,20",ACTION,1,4,11,13,21,"33,37,38,39"
14,HTR_PROP_ON,"5,6,10,17,21",ACTION,1,4,11,13,20,"32,36"
15,HTR_CAM_ON,"5,6,10,18,22",ACTION,1,4,11,13,23,35
16,HTR_BAT_ON,"5,6,10,19,23",ACTION,1,4,11,13,22,34
17,HTR_PANEL_OFF,"5,6,10,16,17,18,19,20",ACTION,1,4,11,13,21,"33,37,38,39"
18,HTR_PROP_OFF,"5,6,10,17,21",ACTION,1,4,11,13,20,"32,36"
19,HTR_CAM_OFF,"5,6,10,18,22",ACTION,1,4,11,13,23,35
20,HTR_BAT_OFF,"5,6,10,19,23",ACTION,1,4,11,13,22,34
21,AOCS_ON,"5,7,11,25",ACTION,1,4,11,14,29,
22,AOCS_OFF,"5,7,11,25",ACTION,1,4,11,14,29,
23,RW_START,"5,7,11,26",ACTION,1,4,9,28,29,
24,RW_STOP,"5,7,11,26",ACTION,1,4,9,28,29,
25,M_DATA_DOWN,"5,8",GET,1,4,10,31,,
26,GET_PANEL_TEMP,"5,6",GET,1,4,8,25,,
27,GET_PROP_TEMP,"5,6",GET,1,4,8,24,,
28,GET_CAM_TEMP,"5,6",GET,1,4,8,27,,
29,GET_BAT_TEMP,"5,6",GET,1,4,8,26,,
30,TAKE_PICTURE,"5,8,27,28",ACTION,1,4,10,31,,
