ID,TelemetryName,TransitionTrigger,Availability,path,,,,
1,MOBC_Counter,Time,1,6,2,,,
2,TOBC_Counter,Time,1,8,6,2,,
3,AOBC_Counter,Time,1,9,6,2,,
4,MIF_Counter,Time,1,10,6,2,,
5,MOBC_COM_Counter,Command,1,6,2,,,
6,TOBC_COM_Counter,Command,1,8,6,2,,
7,AOBC_COM_Counter,Command,1,9,6,2,,
8,MIF_COM_Counter,Command,1,10,6,2,,
9,MOBC_Current,Command,1,11,6,2,,
10,TOBC_Current,Command,1,11,6,2,,
11,AOBC_Current,Command,1,11,6,2,,
12,MIF_Current,Command,1,11,6,2,,
13,SRx_Current,Command,1,11,6,2,,
14,STx_Current,Command,1,11,6,2,,
15,XTx_Current,Command,1,11,6,2,,
16,PANEL_Temp,Command,1,41,25,8,6,2
17,PROP_Temp,Command,1,40,24,8,6,2
18,CAM_Temp,Command,1,43,27,8,6,2
19,BAT_Temp,Command,0,42,26,8,6,2
20,HTR_PANEL_Current,Command,1,8,6,2,,
21,HTR_PROP_Current,Command,1,8,6,2,,
22,HTR_CAM_Current,Command,1,8,6,2,,
23,HTR_BAT_Current,Command,1,8,6,2,,
24,BAT_Power,Command,1,16,11,6,2,
25,AOCS_Current,Command,1,28,9,6,2,
26,RW_RotateSpeed,Command,1,28,9,6,2,
27,M_DATA,Command,0,31,30,3,,
28,CAM_Status,Command,1,31,10,6,2,
