ID,Link_name,Compo1,Compo2,Medium,Probability
1,GS-MOBC,GS,MOBC,Signal,0.9
2,GS-PCU,GS,PCU,Signal,0.9
3,MOBC-TOBC,MOBC,TOBC,Signal,0.9
4.1,MOBC-PCU,MOBC,PCU,Signal,0.9
4.2,MOBC-PCU,MOBC,PCU,Power,0.9
5,PCU-TOBC,PCU,TOBC,Power,0.9
6,TOBC-HTR_PROP,TOBC,HTR_PROP,Power,0.9
7,TOBC-HTR_PANEL,TOBC,HTR_PANEL,Power,0.9
8,TOBC-TS_PROP,TOBC,TS_PROP,Signal,0.9
9,TOBC-TS_PANEL,TOBC,TS_PANEL,Signal,0.9
10,HTR_PROP-PROP,HTR_PROP,PROP,Heat,0.9
11,HTR_PROP-PANEL,HTR_PROP,PANEL,Heat,0.3
12,HTR_PANEL-PROP,HTR_PANEL,PROP,Heat,0.3
13,HTR_PANEL-PANEL,HTR_PANEL,PANEL,Heat,0.9
14,TS_PROP-PROP,TS_PROP,PROP,Heat,0.9
15,TS_PANEL-PANEL,TS_PANEL,PANEL,Heat,0.9
